Sample,Year,Month,Day,Bulk vs. Seq,Sample,Study Site,,pH,pH stat,NH4,NH4 stat,Ordinal date,Na,Mg,K,Ca,Total Al,Si,S,ICP,,Cl,SO4,NO3,IC,Total N,TN,DON,,DOC,DOC,,Ca_Al Ratio,ADP,
41207,2008,9,15,Bulk,TF,Be,TF_Be_Bulk_15Sep08,7.54,D,2.64,D,733300,408.65,34.15,132.99,72.36,0.37,109.11,,D,41207,52.25,71.56,89.42,D,142.01,D,49.95,41207 5:35,810.69,D,Y,97.7837837838,61,
41208,2008,9,15,Seq,TF,Be,TF_Be_Seq1_15Sep08,7.43,D,26.43,D,733300,475.42,88.87,105.88,125.75,0.00,448.92,,D,41208,39.22,87.80,43.07,D,95.07,D,25.57,41208 5:35,756.78,D,Y,N/A,61,
41209,2008,9,15,Seq,TF,Be,TF_Be_Seq2_15Sep08,6.77,D,7.12,D,733300,49.15,19.75,65.47,30.94,0.37,22.43,,D,41209,39.71,30.78,10.31,D,32.05,D,14.62,41209 5:35,625.40,D,Y,41.8108108108,61,
41210,2008,9,15,Bulk,TF,Yp,TF_Yp_Bulk_15Sep08,7.19,D,2.81,D,733300,274.47,54.31,94.12,87.82,1.48,59.10,,D,41210,41.28,56.33,30.91,D,59.01,D,25.29,41210 5:35,871.01,D,Y,29.6689189189,61,
41211,2008,9,15,Seq,TF,Yp,TF_Yp_Seq1_15Sep08,7.12,D,4.30,D,733300,125.27,43.61,89.77,47.90,0.74,61.94,,D,41211,46.55,58.41,24.86,D,59.51,D,30.35,41211 5:35,596.07,D,Y,32.3648648649,61,
41212,2008,9,15,Seq,TF,Yp,TF_Yp_Seq2_15Sep08,7.03,D,6.53,D,733300,19.57,25.51,43.22,28.44,0.37,6.05,,D,41212,15.93,26.20,10.58,D,38.20,D,21.09,41212 5:35,389.79,D,Y,38.4324324324,61,
41213,2008,9,15,Bulk,SF,Be,SF_Be_Bulk_15Sep08,7.00,D,103.49,D,733300,21.75,20.57,287.97,41.42,1.11,112.85,,D,41213,34.26,99.57,60.93,D,196.86,D,32.44,41213 1:1,1023.02,D,Y,18.6576576577,61,
41214,2008,9,15,Bulk,LL,LL,LL_Be_15Sep08,6.25,D,35.75,D,733300,17.40,247.69,137.34,365.27,12.23,97.90,,D,41214,31.59,73.67,247.11,D,360.54,D,77.67,41214 1:1,3734.60,D,Y,14.9333605887,61,
41215,2008,9,15,Bulk,LL,LL,LL_Yp_15Sep08,6.86,D,44.92,D,733300,25.66,215.59,171.35,221.56,7.41,109.65,,D,41215,57.24,84.20,49.62,D,183.76,D,89.22,41215 1:1,3622.44,D,Y,14.9500674764,61,
41216,2008,9,29,Bulk,BP,BP,BP_Bulk_29Sep08,7.33,D,4.38,D,733314,187.91,50.61,13.68,69.86,0.19,164.12,,D,41216,53.42,36.88,12.76,D,69.14,D,52.00,41216 1:1,164.03,D,Y,183.842105263,17,
41217,2008,9,29,Seq,BP,BP,BP_Seq1_29Sep08,9.35,D,2.36,D,733314,2459.32,133.31,42.45,375.25,0.37,1328.95,,D,41217,93.05,36.88,4.40,D,45.97,D,39.21,41217 1:1,600.22,D,Y,507.094594595,17,
41218,2008,9,29,Seq,BP,BP,BP_Seq2_29Sep08,8.19,D,0.54,D,733314,247.06,130.02,12.28,161.68,0.00,393.38,,D,41218,40.54,29.35,ND,D,11.90,D,11.36,41218 1:1,308.59,D,Y,N/A,17,
41219,2008,9,29,Seq,BP,BP,BP_Seq3_29Sep08,8.36,D,0.62,D,733314,331.45,68.30,10.49,133.23,0.00,519.05,,D,41219,13.40,42.38,11.68,D,20.04,D,7.74,41219 1:1,105.50,D,Y,N/A,17,
41220,2008,9,29,Bulk,TF,Be,TF_Be_Bulk_29Sep08,7.88,D,44.04,D,733314,154.41,63.36,181.33,81.84,0.37,73.69,,D,41220,78.42,95.15,46.39,D,132.88,D,42.46,41220 1:1,74.85,D,Y,110.594594595,17,
41221,2008,9,29,Seq,TF,Be,TF_Be_Seq1_29Sep08,7.68,D,105.18,D,733314,1004.35,168.69,280.30,287.42,0.74,545.39,,D,41221,178.69,200.40,67.71,D,244.69,D,71.80,41221,1482.94,D,Y,194.202702703,17,
41222,2008,9,29,Seq,TF,Be,TF_Be_Seq2_29Sep08,7.14,D,10.40,D,733314,267.94,99.57,118.41,145.21,0.37,208.62,,D,41222,62.19,61.91,10.28,D,49.32,D,28.64,41222,798.92,D,Y,196.22972973,17,
41223,2008,9,29,Bulk,TF,Yp,TF_Yp_Bulk_29Sep08,7.12,D,5.60,D,733314,136.15,90.52,143.99,119.76,1.48,43.43,,D,41223,64.79,72.11,29.96,D,65.10,D,29.53,41223,903.03,D,Y,40.4594594595,17,
41224,2008,9,29,Seq,TF,Yp,TF_Yp_Seq1_29Sep08,7.63,D,57.96,D,733314,1168.33,186.79,228.13,287.42,1.85,391.24,,D,41224,174.69,141.79,5.74,D,125.34,D,61.63,41224,1477.92,D,Y,77.6810810811,17,
41225,2008,9,29,Seq,TF,Yp,TF_Yp_Seq2_29Sep08,7.66,D,8.00,D,733314,218.35,119.32,143.99,156.69,1.11,207.19,,D,41225,52.11,51.26,21.33,D,73.64,D,44.31,41225,1033.13,D,Y,70.5810810811,17,
41226,2008,9,29,Bulk,SF,Be,SF_Be_Bulk_29Sep08,6.61,D,151.56,D,733314,35.23,31.27,369.30,42.91,1.11,152.72,,D,41226,63.41,205.07,105.92,D,271.53,D,14.05,41226,1805.72,D,Y,19.3288288288,17,
41227,2008,9,29,Bulk,SF,Yp,SF_Yp_Bulk_29Sep08,6.02,D,23.56,D,733314,99.61,239.46,615.08,243.51,12.23,27.77,,D,41227,30.09,305.14,16.07,D,245.58,D,205.96,41227,9590.62,D,Y,9.9554374489,17,
41228,2008,9,29,Bulk,LL,LL,LL_Be_Bulk_29Sep08,6.65,D,93.71,D,733314,142.24,486.32,368.28,662.67,12.23,151.30,,D,41228,344.93,294.14,333.60,D,520.12,D,92.81,,,E,Y,27.0919869174,17,
41229,2008,9,29,Bulk,LL,LL,LL_Yp_Bulk_29Sep08,6.86,D,8.36,D,733314,78.29,543.10,556.51,494.01,13.34,176.93,,D,41229,243.54,318.78,213.58,D,370.53,D,148.58,41229,6577.21,D,Y,18.5161169415,17,
42133,2009,1,8,Bulk,BP,BP,BP_Bulk_08Jan09,6.71,D,3.39,D,733415,25.23,23.04,53.84,17.47,0.37,9.26,,D,42133,16.01,24.02,10.19,D,22.85,D,9.27,42133 1:1,76.47,D,Y,23.6081081081,230,
42134,2009,1,8,Bulk,TF,Be,TF_Be_Bulk_08Jan09,6.36,D,101.71,D,733415,26.10,17.28,46.04,15.97,0.00,1.78,,D,42134,31.88,91.80,41.60,D,161.73,D,18.42,42134 1:1,98.65,D,Y,N/A,230,
42135,2009,1,8,Bulk,TF,Yp,TF_Yp_Bulk_08Jan09,6.12,D,34.67,D,733415,27.84,23.04,67.26,26.95,0.37,2.49,,D,42135,33.35,81.54,30.53,D,80.07,D,14.88,41235 1:1,246.64,D,Y,36.4189189189,230,
42136,2009,1,8,Bulk,SF,Be,SF_Be_Bulk_08Jan09,5.65,D,179.14,D,733415,31.32,92.16,134.78,110.28,0.37,12.82,,D,42136,48.17,433.74,91.82,D,318.44,D,47.48,42136 1:1,234.70,D,Y,149.027027027,230,
42137,2009,1,8,Bulk,SF,Yp,SF_Yp_Bulk_08Jan09,5.59,D,25.91,D,733415,20.88,107.80,386.69,80.34,2.96,1.42,,D,42137,63.03,397.84,26.41,D,101.43,D,49.11,42137 1:1,1146.01,D,Y,13.5709459459,230,
42138,2009,1,8,Bulk,LL,LL,LL_Be_08Jan09,6.26,D,23.50,D,733415,14.35,44.44,145.27,57.88,4.45,26.34,,D,42138,16.75,57.71,68.78,D,125.67,D,33.39,42138 1:1,638.15,D,Y,6.50337078652,230,
42139,2009,1,8,Bulk,LL,LL,LL_Yp_08Jan09,6.56,D,3.24,D,733415,15.22,49.37,127.36,37.43,0.74,14.24,,D,42139,42.80,63.75,16.24,D,41.79,D,22.32,42139 1:1,443.36,D,Y,25.2905405405,230,
42140,2008,7,21,Seq,SF,Yp,SF_Yp_Seq3_21Jul 08,5.85,D,74.84,D,733244,46.54,268.26,573.39,238.02,10.01,6.76,,D,42140,6.53,68.79,13.21,D,328.89,D,240.84,42140 5:35,1306.93,D,Y,11.8891108891,N/A,
42141,2008,7,21,Seq,SF,Yp,SF_Yp_Seq4_21 Jul 08,5.94,D,50.16,D,733244,31.32,128.37,383.63,112.28,7.41,4.27,,D,42141,31.50,264.82,53.02,D,191.64,D,88.46,42141 5:35,603.08,D,Y,7.57624831309,N/A,
42142,2008,9,8,Seq,BP,BP,BP_Seq4_08Sep 08,6.88,D,0.00,D,733293,200.74,84.35,23.27,94.81,0.00,230.69,,D,42142,39.82,15.78,n.a.,D,22.18,D,22.18,42142 1:1,210.25,D,Y,N/A,12,
42143,2008,12,2,Bulk,BP,BP,BP_Bulk_02Dec08,6.18,D,8.85,D,733378,0.87,9.05,0.00,16.47,0.00,0.71,,D,42143,2.30,4.03,4.24,D,37.13,D,24.04,42143 1:1,65.66,D,Y,N/A,98,
42144,2008,12,2,Seq,BP,BP,BP_Seq1_02Dec08,6.24,D,0.00,D,733378,42.19,62.54,0.00,12.48,0.00,48.06,,D,42144,12.91,39.91,23.41,D,33.96,D,10.55,42144 1:1,132.72,D,Y,N/A,98,
42145,2008,12,2,Seq,BP,BP,BP_Seq2_02Dec08,6.33,D,0.00,D,733378,23.92,28.80,0.00,21.46,0.00,25.99,,D,42145,7.72,23.94,14.05,D,23.24,D,9.19,42145 1:1,90.62,D,Y,N/A,98,
42146,2008,12,2,Bulk,TF,Yp,TF_Yp_Bulk_02Dec08,6.31,D,1.26,D,733378,20.88,23.04,54.47,24.95,0.74,8.90,,D,42146,12.82,59.90,17.33,D,30.69,D,12.10,42146 1:1,203.34,D,Y,16.8581081081,98,
42147,2008,12,2,Seq,TF,Yp,TF_Yp_Seq1_02Dec08,6.39,D,42.28,D,733378,14.35,49.37,123.27,34.93,1.11,3.20,,D,42147,20.61,66.26,52.84,D,103.82,D,8.70,42147 1:1,245.23,D,Y,15.7342342342,98,
42148,2008,12,2,Seq,TF,Yp,TF_Yp_Seq2_02Dec 08,6.37,D,16.73,D,733378,3.91,41.14,58.57,27.94,0.74,0.00,,D,42148,10.99,51.48,17.02,D,42.66,D,8.91,42148 1:1,190.18,D,Y,18.8783783784,98,
42149,2008,12,2,Seq,TF,Yp,TF_Yp_Seq3_02Dec 08,6.48,D,10.63,D,733378,5.65,44.44,43.48,30.44,0.74,0.00,,D,42149,10.62,42.93,7.29,D,96.78,D,78.86,42149 1:1,224.14,D,Y,20.5675675676,98,
42150,2008,12,2,Bulk,TF,Be,TF_Be_Bulk_02Dec08,6.29,D,51.76,D,733378,0.87,18.93,53.71,22.46,0.37,1.78,,D,42150,12.19,81.01,38.12,D,100.45,D,10.57,42150 1:1,135.11,D,Y,30.3513513514,98,
42151,2008,12,2,Seq,TF,Be,TF_Be_Seq1_02Dec08,6.34,D,120.24,D,733378,15.22,34.97,124.55,26.45,0.37,6.41,,D,42151,30.81,140.02,105.55,D,227.05,D,1.26,42151 1:1,192.86,D,Y,35.7432432432,98,
42152,2008,12,2,Seq,TF,Be,TF_Be_Seq2_02Dec08,6.53,D,17.68,D,733378,2.61,19.75,59.33,15.47,0.37,2.14,,D,42152,10.82,45.93,11.72,D,30.31,D,0.91,42152 1:1,147.48,D,Y,20.9054054054,98,
42153,2008,12,2,Bulk,SF,Be,SF_Be_Bulk_02Dec 08,5.93,D,125.69,D,733378,13.05,78.17,367.00,75.35,1.11,28.84,,D,42153,37.14,400.27,164.03,D,315.43,D,25.71,42153 1:1,403.41,D,Y,33.9414414414,98,
42154,2008,12,2,Bulk,SF,Yp,SF_Yp_Bulk_02Dec08,5.92,D,18.71,D,733378,10.44,82.29,353.45,70.36,4.82,1.42,,D,42154,39.61,251.70,10.89,D,109.75,D,80.15,42154 5:35,450.60,D,Y,7.29875518672,98,
42155,2008,12,2,Bulk,LL,LL,LL_Be_Bulk_02Dec08,6.4,D,5.99,D,733378,2.61,67.48,249.36,103.79,10.01,56.60,,D,42155,18.99,78.17,47.45,D,82.28,D,28.84,42155 5:35,349.18,D,Y,5.18431568432,98,
42156,2008,12,2,Bulk,LL,LL,LL_Yp_Bulk_02Dec08,6.79,D,1.60,D,733378,6.52,111.09,489.25,99.30,7.04,72.98,,D,42156,46.59,179.46,34.20,D,46.95,D,11.15,42156 5:35,348.27,D,Y,7.05255681818,98,
42157,2008,7,24,Seq,TF,Yp,TF_Yp_Seq4_24Jul08,6.59,D,16.97,D,733247,21.31,37.03,24.30,50.40,0.74,21.36,,D,42157,3.00,12.09,7.02,D,52.99,D,29.00,42157 1:1,275.44,D,Y,34.0540540541,N/A,
42158,2008,7,24,Seq,TF,Yp,TF_Yp_Seq5_24Jul08,6.88,D,12.56,D,733247,45.67,41.14,24.30,57.88,1.11,39.87,,D,42158,6.61,53.67,22.79,D,49.20,D,13.85,42158 1:1,283.89,D,Y,26.0720720721,N/A,
42159,2008,7,24,Seq,TF,Yp,TF_Yp_Seq6_24Jul08,6.89,D,11.67,D,733247,103.52,43.61,27.37,66.87,0.74,70.84,,D,42159,5.51,32.79,14.95,D,49.20,D,22.58,42159 1:1,311.78,D,Y,45.1824324324,N/A,
42160,2008,7,24,Seq,SF,Yp,SF_Yp_Seq1_24Jul08,6.98,D,103.77,D,733247,48.50,115.20,326.85,99.55,4.08,31.68,,D,42160,9.08,102.72,20.65,D,205.35,D,80.93,42160 5:35,466.99,D,Y,12.199754902,N/A,
42161,2008,7,24,Seq,SF,Yp,SF_Yp_Seq2_24Jul08,5.82,D,58.87,D,733247,22.18,151.41,415.85,135.23,7.78,2.49,,D,42161,14.63,304.19,41.42,D,211.49,D,111.19,42161 5:35,856.02,D,Y,8.69087403599,N/A,
42162,2008,7,24,Seq,TF,Be,TF_Be_Seq6_24Jul08,6.45,D,22.41,D,733247,0.00,15.63,19.44,22.95,0.00,6.41,,D,42162,5.79,43.93,17.31,D,42.49,D,2.77,42162 1:1,172.75,D,Y,N/A,N/A,
42163,2008,7,24,Seq,SF,Be,SF_Be_Seq1_24Jul08,6.58,D,173.59,D,733247,18.27,52.66,386.95,64.87,0.74,154.86,,D,42163,32.46,278.77,167.75,D,404.29,D,62.95,42163 5:35,270.53,D,Y,43.8310810811,N/A,
42164,2008,7,24,Seq,SF,Be,SF_Be_Seq2_24Jul08,6.19,D,119.76,D,733247,0.43,27.98,223.27,33.93,0.74,56.60,,D,42164,22.52,157.07,112.07,D,269.74,D,37.91,42164 5:35,183.47,D,Y,22.9256756757,N/A,
42165,2008,7,24,Seq,SF,Be,SF_Be_Seq3_24Jul08,6.6,D,34.39,D,733247,0.00,4.11,48.85,5.99,0.00,20.29,,D,42165,5.52,29.41,21.09,D,66.12,D,10.63,42165 1:1,162.95,D,Y,N/A,N/A,
42166,2008,9,10,Bulk,BP,BP,BP_Bulk_10Sep08,6.97,D,0.00,D,733295,367.55,51.02,0.77,150.70,0.00,369.17,,D,42166,8.23,52.44,11.38,D,26.59,D,15.21,42166 1:1,119.98,D,Y,N/A,12,
42167,2008,9,10,Seq,BP,BP,BP_Seq1_10Sep08,8.38,D,0.00,D,733295,840.36,79.82,8.70,270.96,0.00,825.56,,D,42167,10.38,50.59,9.96,D,36.02,D,26.06,42167 1:1,183.56,D,Y,N/A,12,
42168,2008,9,10,Seq,BP,BP,BP_Seq3_10Sep08,6.91,D,0.00,D,733295,32.62,31.27,0.00,78.84,0.00,53.76,,D,42168,10.87,51.18,14.28,D,25.22,D,10.94,42168 1:1,88.57,D,Y,N/A,12,
42169,2008,9,10,Bulk,TF,Yp,TF_Yp_Bulk_10Sep08,6.73,D,4.61,D,733295,31.32,51.02,63.94,52.40,1.11,15.31,,D,42169,16.11,64.04,19.00,D,42.92,D,19.31,42169 1:1,227.84,D,Y,23.6036036036,12,
42170,2008,9,10,Seq,TF,Yp,TF_Yp_Seq1_10Sep08,6.95,D,1.22,D,733295,62.20,71.59,76.73,72.85,1.48,31.68,,D,42170,7.39,27.18,7.11,D,31.08,D,22.75,42170 1:1,310.87,D,Y,24.6114864865,12,
42171,2008,9,10,Seq,TF,Yp,TF_Yp_Seq2_10Sep 08,6.76,D,12.39,D,733295,4.35,32.92,41.94,35.93,0.37,3.20,,D,42171,14.01,62.22,19.18,D,48.49,D,16.93,42171 1:1,151.63,D,Y,48.5540540541,12,
42172,2008,9,10,Seq,TF,Yp,TF_Yp_Seq3_10Sep08,6.98,D,0.11,D,733295,10.00,48.55,56.01,49.40,1.11,7.48,,D,42172,12.45,62.35,16.87,D,29.67,D,12.70,42172 1:1,322.28,D,Y,22.2522522523,12,
42173,2008,9,10,Bulk,TF,Be,TF_Be_Bulk_10Sep08,6.52,D,20.15,D,733295,20.88,25.51,67.26,25.95,0.37,4.98,,D,42173,40.63,26.49,7.89,D,39.83,D,11.79,42173 1:1,256.00,D,Y,35.0675675676,12,
42174,2008,9,10,Seq,TF,Be,TF_Be_Seq1_10Sep08,6.74,D,40.78,D,733295,126.58,26.33,43.48,35.43,0.00,35.60,,D,42174,15.57,76.90,27.55,D,72.39,D,4.06,42174 5:35,62.26,D,Y,N/A,12,
42175,2008,9,10,Seq,TF,Be,TF_Be_Seq2_10Sep 08,6.79,D,36.23,D,733295,134.84,13.17,38.62,19.96,0.00,24.92,,D,42175,12.85,68.46,22.28,D,60.22,D,1.72,42175 1:1,143.91,D,Y,N/A,12,
42176,2008,9,10,Bulk,SF,Yp,SF_Yp_Bulk_10Sep08,6.64,D,15.14,D,733295,24.79,77.35,171.35,58.38,2.22,36.67,,D,42176,6.41,28.88,4.55,D,66.20,D,46.51,42176 5:35,329.82,D,Y,13.1486486486,12,
42177,2008,9,10,Seq,SF,Yp,SF_Yp_Seq1_10Sep08,6.66,D,13.43,D,733295,22.62,78.17,172.63,56.89,2.59,37.38,,D,42177,11.00,66.19,5.11,D,63.77,D,45.23,42177 5:35,328.86,D,Y,10.9826254826,12,
42178,2008,9,10,Bulk,LL,LL,LL_Be_10Sep08,5.22,D,33.57,D,733295,21.10,281.42,153.19,385.73,10.93,78.32,,D,42178,14.27,45.85,214.80,D,561.91,D,313.53,42178 5:35,400.95,D,Y,17.6454711802,12,
42179,2008,9,10,Bulk,LL,LL,LL_Yp_10Sep08,6.31,D,11.46,D,733295,20.88,108.62,154.22,106.29,3.71,35.24,,D,42179,13.45,27.67,17.63,D,107.83,D,78.74,42179 5:35,233.07,D,Y,14.3247978437,12,
42180,2008,11,17,Bulk,BP,BP,BP_Bulk_17Nov08,6.14,D,0.00,D,733363,11.31,10.70,4.86,15.97,0.00,0.71,,D,42180,10.19,20.12,6.79,D,14.20,D,7.41,42180 1:1,77.05,D,Y,N/A,27,
42181,2008,11,17,Seq,BP,BP,BP_Seq1_17Nov08,6.88,D,0.00,D,733363,270.55,64.18,14.32,80.34,0.00,283.02,,D,42181,22.50,47.94,16.70,D,28.93,D,12.23,42181 1:1,128.56,D,Y,N/A,27,
42182,2008,11,17,Seq,BP,BP,BP_Seq2_17Nov08,6.94,D,0.00,D,733363,33.93,35.38,5.63,46.91,0.00,40.23,,D,42182,9.29,21.95,9.13,D,13.28,D,4.16,42182 1:1,80.55,D,Y,N/A,27,
42183,2008,11,17,Seq,BP,BP,BP_Seq3_17Nov08,6.71,D,0.70,D,733363,15.66,23.04,4.86,28.44,0.00,27.77,,D,42183,5.71,9.48,n.a.,D,8.23,D,7.53,42183 1:1,80.57,D,Y,N/A,27,
42184,2008,11,17,Seq,BP,BP,BP_Seq4_17Nov08,6.44,D,0.00,D,733363,23.49,31.27,6.14,35.93,0.00,37.02,,D,42184,5.63,17.09,n.a.,D,8.24,D,8.24,42184 1:1,132.14,D,Y,N/A,27,
42185,2008,11,17,Bulk,TF,Yp,TF_Yp_Bulk_17Nov08,6.4,D,0.00,D,733363,15.66,43.61,206.90,41.92,1.85,3.56,,D,42185,21.28,50.32,n.a.,D,15.84,D,15.84,42185 1:1,411.21,D,Y,11.3297297297,27,
42186,2008,11,17,Seq,TF,Yp,TF_Yp_Seq1_17Nov08,6.36,D,5.08,D,733363,25.66,602.35,903.56,404.69,51.88,2.14,,D,42186,91.53,75.04,12.16,D,54.44,D,37.20,42186 5:35,2447.74,D,Y,3.90025057826,27,
42187,2008,11,17,Seq,TF,Yp,TF_Yp_Seq2_17Nov 08,6.59,D,0.00,D,733363,22.18,161.70,706.25,132.48,8.15,2.49,,D,42187,72.48,78.18,n.a.,D,18.79,D,18.79,42187 1:1,1581.69,D,Y,8.12760736196,27,
42188,2008,11,17,Seq,TF,Yp,TF_Yp_Seq3_17Nov 08,6.5,D,0.14,D,733363,18.27,251.80,580.55,167.17,16.68,19.94,,D,42188,43.33,36.60,6.82,D,29.87,D,22.91,42188 5:35,715.36,D,Y,5.0110911271,27,
42189,2008,11,17,Bulk,TF,Be,TF_Be_Bulk_17Nov08,6.81,D,12.93,D,733363,12.18,15.63,117.90,17.96,0.74,7.48,,D,42189,16.17,49.48,18.19,D,50.07,D,18.95,42189 1:1,208.67,D,Y,12.1351351351,27,
42190,2008,11,17,Seq,TF,Be,TF_Be_Seq1_17Nov08,6.83,D,39.61,D,733363,18.70,23.86,229.41,17.96,2.96,3.20,,D,42190,12.06,37.64,11.67,D,76.26,D,24.98,42190 1:1,332.02,D,Y,3.03378378378,27,
42191,2008,11,17,Seq,TF,Be,TF_Be_Seq2_17Nov 08,6.57,D,38.98,D,733363,11.74,16.46,142.45,12.48,1.11,0.00,,D,42191,12.97,32.63,14.11,D,83.54,D,30.45,42191 1:1,253.80,D,Y,5.62162162162,27,
42192,2008,11,17,Seq,TF,Be,TF_Be_Seq3_17Nov 08,6.97,D,94.81,D,733363,49.59,53.49,262.91,43.41,2.96,7.83,,D,42192,3.42,5.64,n.a.,D,126.18,D,31.37,42192 1:1,405.40,D,Y,7.33277027027,27,
42193,2008,11,17,Bulk,SF,Yp,SF_Yp_Bulk_17Nov08,5.81,D,22.90,D,733363,26.97,167.87,512.01,135.73,7.04,5.34,,D,42193,73.31,385.69,37.54,D,141.88,D,81.45,42193 5:35,644.36,D,Y,9.63991477273,27,
42194,2008,11,17,Bulk,SF,Be,SF_Be_Bulk_17Nov08,6.19,D,33.39,D,733363,26.10,37.03,338.10,39.92,1.85,148.45,,D,42194,13.15,142.67,29.94,D,122.35,D,59.02,42194 5:35,223.69,D,Y,10.7891891892,27,
42195,2008,11,17,Bulk,LL,LL,LL_Be_Bulk_17Nov08,6.45,D,9.16,D,733363,16.53,118.49,374.42,188.12,18.90,125.67,,D,42195,20.09,36.91,5.23,D,98.92,D,84.54,42195 5:35,546.27,D,Y,4.97671957672,27,
42196,2008,11,17,Bulk,LL,LL,LL_Yp_Bulk_17Nov08,6.87,D,0.95,D,733363,23.92,154.70,612.78,146.21,18.16,79.74,,D,42196,20.50,44.95,n.a.,D,62.34,D,61.39,42196 5:35,535.65,D,Y,4.02560572687,27,
42807,2009,5,7,Bulk,BP,BP,BP_Bulk_07May09,6.44,D,11.38,D,733534,84.82,10.70,4.86,18.46,0.00,6.76,,D,42807,17.30,22.31,13.81,D,36.15,D,10.96,42807,98.26,D,Y,N/A,23,
42808,2009,5,7,Bulk,TF,Be,TF_Be_Bulk_07May09,6.23,D,7.31,D,733534,25.66,22.22,33.50,25.45,0.00,22.07,,D,42808,16.36,23.79,16.76,D,36.22,D,12.15,42808,278.85,D,Y,N/A,23,
42809,2009,5,7,Bulk,TF,Yp,TF_Yp_Bulk_07May09,5.89,D,14.46,D,733534,11.74,33.74,185.93,37.43,3.34,1.42,,D,42809,6.17,48.98,1.38,D,88.43,D,72.59,42809,3413.39,D,Y,5.60329341317,23,
42810,2009,5,7,Bulk,SSF,Be,SSF_Be_07May09,5.32,D,20.41,D,733534,17.40,34.56,91.30,34.93,15.57,46.28,,D,42810,17.43,80.57,30.06,D,85.86,D,35.39,42810,1176.42,D,Y,1.12170841362,23,
42811,2009,5,7,Bulk,SSF,Yp,SSF_Yp_07May09,6.3,D,181.09,D,733534,42.63,103.68,367.77,100.80,41.88,83.66,,D,42811,48.82,233.30,181.22,D,468.29,D,105.97,42811,3209.47,D,Y,1.20343839542,23,
42812,2009,5,7,Bulk,VSA,VSA,VSA_Post_07May09,6.89,D,1.54,D,733534,260.98,129.19,36.32,193.61,0.00,348.52,,D,42812,105.75,187.83,13.76,D,22.94,D,7.64,42812,63.28,D,Y,N/A,23,
42813,2009,5,07,Seq,SF,Be,SF_Be_Seq1_07May09_2130,6.64,D,127.72,D,733534,124.84,18.10,211.51,37.43,1.11,35.24,,D,42813,45.61,76.38,61.82,D,221.09,D,31.54,42813,1308.86,D,Y,16.8603603604,23,
42814,2009,5,07,Seq,SF,Be,SF_Be_Seq2_07May09_2145,5.81,D,27.12,D,733534,14.79,9.05,166.49,16.97,0.37,35.24,,D,42814,19.53,63.10,43.34,D,104.99,D,34.53,42814,1161.33,D,Y,22.9324324324,23,
42815,2009,5,07,Seq,SF,Be,SF_Be_Seq3_07May09_2200,5.88,D,20.46,D,733534,6.52,4.11,125.83,9.48,0.37,30.97,,D,42815,13.15,42.00,18.47,D,69.32,D,30.39,42815,987.36,D,Y,12.8108108108,23,
42816,2009,5,07,Seq,SF,Be,SF_Be_Seq4_07May09_2230,6.08,D,1.69,D,733534,6.96,2.47,74.17,4.49,0.00,15.31,,D,42816,7.49,19.65,21.47,D,40.63,D,17.47,42816,592.24,D,Y,N/A,23,
42817,2009,5,07,Seq,SF,Be,SF_Be_Seq5_07May09_2300,6.08,D,3.91,D,733534,1.74,0.00,51.92,0.00,0.00,5.34,,D,42817,4.96,17.61,0.32,D,21.34,D,17.11,42817,369.26,D,Y,N/A,23,
42818,2009,5,07,Seq,SF,Be,SF_Be_Seq6_07May09_2330,6.05,D,8.33,D,733534,0.87,0.00,54.47,0.00,0.00,6.76,,D,42818,5.18,21.71,0.23,D,26.97,D,18.41,42818,377.25,D,Y,N/A,23,
42819,2009,5,07,Seq,SF,Be,SF_Be_Seq7_07May09_Last,5.96,D,7.65,D,733534,5.22,1.65,91.05,3.99,0.74,31.68,,D,42819,7.51,37.33,1.70,D,35.33,D,25.98,42819,956.56,D,Y,2.69594594595,23,
42820,2009,5,07,Seq,SF,Yp,SF_Yp_Seq1_07May09_2230,6.54,D,46.75,D,733534,224.88,59.25,219.95,73.85,4.82,5.34,,D,42820,19.33,58.65,8.03,D,147.71,D,92.93,42820,4041.60,D,Y,7.66078838174,23,
42821,2009,5,07,Seq,SF,Yp,SF_Yp_Seq2_07May09_2245,5.7,D,24.69,D,733534,30.45,39.50,193.86,41.92,4.08,0.36,,D,42821,6.11,51.20,1.63,D,99.89,D,73.57,42821,3521.99,D,Y,5.13725490196,23,
42822,2009,5,07,Seq,SF,Yp,SF_Yp_Seq3_07May09_2300,5.44,D,18.98,D,733534,11.31,32.09,182.09,32.93,3.34,0.00,,D,42822,3.30,43.63,0.79,D,90.29,D,70.53,42822,3131.69,D,Y,4.92964071856,23,
42823,2009,5,07,Seq,SF,Yp,SF_Yp_Seq4_07May09_2330,5.54,D,26.74,D,733534,13.48,29.62,180.30,32.93,3.34,0.00,,D,42823,8.17,46.52,1.04,D,91.38,D,63.60,42823,3046.81,D,Y,4.92964071856,23,
42824,2009,5,07,Seq,SF,Yp,SF_Yp_Seq5_07May09_Last,6.21,D,5.92,D,733534,11.74,23.04,63.43,23.95,1.11,2.14,,D,42824,16.89,25.18,9.89,D,33.84,D,18.03,42824,729.11,D,Y,10.7882882883,23,
